"Cliente - Nome","Cliente - CNPJ","Cliente - Estado","Cliente - Cidade","rua"
"MULTITINTAS LEOPOLDINA COMERCIO DE TINTAS LTDA","37837253000124","SP","SAO PAULO","AV IMP LEOPOLDINA,788-LOJA TERREO,05305-001"
"MWL COMERCIO DE TINTAS BARRETOS LTDA","37490360000129","SP","BARRETOS","AV 43,799-BOX 2,14780-733"
"N C OLIVEIRA TINTAS LTDA","10714194000140","RN","NATAL","R CEL NORTON CHAVES,729-,59075-200"
"N N TINTAS LTDA","08201624000189","RN","NATAL","R CEL NORTON CHAVES,726-,59075-200"
"NEYMARX COM DE MAT LTDA","00776236000114","AM","MANAUS","R VISCONDE DE JEQUITINHONHA,SN-QD 26 LT 06 LETRA B,69058-740"
"NIPPON TINTAS LTDA","00023223000174","SP","CAMPINAS","AV  JOAO JORGE,126-134,13035-680"
"NORTH EMPREENDIMENTOS LTDA","26462797000132","RR","BOA VISTA","AV GENERAL ATAIDE TEIVE,2687-,69309-000"
"NR TINTAS LTDA EPP","11441370000423","MG","UBERLANDIA","AV BELO HORIZONTE,696-,38400-454"
"NUNES & DE MARI LTDA","78921798000100","PR","LONDRINA","AV BRASILIA,2815-,86025-180"
"O TINTEIRO COMERCIO DE TINTAS EIRELI","34056520000138","SP","SAO JOSE DO RIO PRETO","AV DANILO GALEAZZI,2861-,15051-155"
"ORGANIZACAO ANDRADE & TOMAZINI LTDA EPP","71180426000112","MG","UBERABA","R PE ZEFERINO,347-,38015-160"
"OURIMADEIRAS CASA CONSTRUCAO EIRELI EPP","05206161000150","SP","OURINHOS","R  DO EXPEDICIONARIO,1187-,19900-041"
"OUTLET DAS TINTAS COMERCIO DE TINTAS LTDA","24968736000205","BA","LAURO DE FREITAS","AV SANTOS DUMONT,1926-LJ10,42700-000"
"OUTLET DAS TINTAS EIRELI","34381286000114","SP","SAO PAULO","AV SANTO AMARO,3498-,04556-300"
"OUTLET DAS TINTAS EIRELI","34381286000114","SP","SAO PAULO","AV SANTO AMARO,3498-,04556-300"
"PALACIO DAS TINTAS FRANCA EIRELI - EPP","26068894000145","SP","FRANCA","R MONSENHOR ROSA,1330-,14400-670"
"PALMEIRA TINTAS LTDA","42335141000296","RJ","RIO DE JANEIRO","R CD DE BONFIM,837-,20530-000"
"PAOLUCCI COM DE TINTAS LTDA","43336882001064","SP","SAO PAULO","R  CLELIA,1797-,05042-001"
"PAOLUCCI COM DE TINTAS LTDA","43336882001064","SP","SAO PAULO","R  CLELIA,1797-,05042-001"
"PENKY COMERCIAL EIRELI","00465530000105","SP","OSASCO","R AGUDOS,347-,06223-140"
"PERIN 4V MATERIAIS DE CONSTRUCAO LTDA","29628340000143","RR","BOA VISTA","AV CAPITAO JULIO BEZERRA,1637-,69305-294"
"PICCOLO CONSTR E MAT LTDA","88429881000535","RS","NOVO HAMBURGO","AV CEL FREDERICO LINCK,579-,93336-002"
"PINTE E DECORE COMERCIO DE TINTAS EIRELI EPP","24075668000247","MT","CUIABA","AV PERNAMBUCO (NUC HAB CPA II),769-QD A LT02 CPA II,78055-428"
"PIRATININGA FRANCA EIRELI - EPP","26094554000199","SP","FRANCA","R VEREADOR JOSE GRANZOTTE,2547-2559,14403-597"
"PISCINAO DE BONSUCESSO COM DE TINTAS LTDA EPP","05013769000249","RJ","RIO DE JANEIRO","R  ADOLFO BERGAMINI,42-,20730-000"
"PLANALTO TINTAS LTDA","26390229000688","MG","BELO HORIZONTE","AV PORTUGAL,5523-,31710-400"
"PLANALTO TINTAS LTDA","26390229000840","MG","DIVINOPOLIS","R ESPIRITO SANTO,332-,35500-030"
"PLANALTO TINTAS LTDA","26390229001064","MG","MONTES CLAROS","AV GERALDO ATHAYDE,1205-,39400-292"
"POLAR TINTAS COMERCIO DE TINTAS LTDA","01671634000139","DF","BRASILIA","QD 7,SN-LT 1310 1315 SN SETOR LESTE IN,72445-070"
"POLITINTAS LTDA","27171883001040","ES","SERRA","AV  ELDES SCHERRER SOUZA,805-LJ 4,29165-680"
"POLITINTAS LTDA","27171883000230","ES","VILA VELHA","ROD CARLOS LINDEMBERG 2340 LOJAS 12 E 13,SN-,29123-600"
"POLITINTAS LTDA","27171883000400","ES","VITORIA","AV  LEITAO DA SILVA,931-LJ 1 2 PAV,29046-010"
"POLO DAS TINTAS LTDA EPP","03329163000100","DF","BRASILIA","Q QI 1 LOTES 59 61 E,63-LJ 01,72135-010"
"PONTACO COMERCIO DE FERRO ECIMENTO LTDA","10303870000193","RJ","RIO DAS OSTRAS","AV JANE MARIA MARTINS FIGUEIRA,1633-,28896-052"
"PONTOCOR COM DE TINTAS LTDA","12541519000166","PR","MARINGA","AV  BRASIL,3051-,87013-000"
"PRIMOSUL MAT DE CONSTRUCAO LTDA","88741301000117","RS","PORTO ALEGRE","EST JUCA BATISTA,1250-,91770-000"
"PV DISTRIB LTDA ME","07432377000169","SC","FLORIANOPOLIS","ROD  SC QUATROCENTOS E CINCO,SN-KM 1 697,88048-000"
"RB TINTAS EIRELI","30338238000354","SP","OSASCO","AV JOAO VENTURA DOS SANTOS,842-,06260-170"
"REAL COMERCIO LTDA","19972249001592","MG","BELO HORIZONTE","R  MOEMA,285-,30730-580"
"REAL COMERCIO LTDA","19972249002130","MG","CONTAGEM","AV  JOAO CESAR DE OLIVEIRA,2501-,32315-000"
"REAL COMERCIO LTDA","19972249002483","MG","DIVINOPOLIS","R  PIAUI,471-,35502-031"
"RECANTO COM DE TINTAS LTDA ME","68987742000196","SP","SAO PAULO","R  MACIEL MONTEIRO,151-,03566-000"
"RECANTO COM DE TINTAS LTDA ME","68987742000196","SP","SAO PAULO","R  MACIEL MONTEIRO,151-,03566-000"
"RESEMINI COMERCIO DE MAT DE CONSTRUCAO LTDA","03022115000175","RS","GARIBALDI","R JOAO PESSOA,329-,95720-000"
"RIACHO TINTAS LTDA EPP","03073454000180","DF","BRASILIA","SET DE HABITACOES CGNC SN Q716 BLD LJ63,SN-,70770-534"
"RIBEIRO E UCHOA LTDA","30249467000130","AC","RIO BRANCO","R MINAS GERAIS,1041-,69900-180"
"RICASA MAT PARA CONSTRUCAO LTDA EPP","07128187000152","SP","GUARULHOS","AV  BOM CLIMA,38-,07196-220"
"RIO DO PINCEL TINTAS LTDA","01338470000394","RJ","RIO DE JANEIRO","EST DE JACAREPAGUA,7666-,22753-032"
"RN TINTAS LTDA","01407362000164","RN","NATAL","R DOS PAIANAZES,1648-ANEXO 1640,59037-350"
"ROCHA'S COMERCIO VAREJISTA DE TINTAS, CASA & CONSTRUCAO LTDA","41643563000185","SP","JUNDIAI","R BOM JESUS DE PIRAPORA,1381-,13207-605"
"RODRIGO OCANHA COMERCIO DE TINTAS EPP","28938365000180","SP","MARILIA","AV MANOEL MULLER,158-,17507-200"
"SACI COMERCIO DE TINTAS LTDA","71961049000744","SP","CAMPINAS","AV NS DE FATIMA,1307-,13076-000"
"SACI COMERCIO DE TINTAS LTDA","71961049000159","SP","JUNDIAI","AV CDOR ANTONIO BORIN,2630-LJ,13219-807"
"SAINT GOBAIN DISTRIBUICAO BRASIL LTDA","03840986005831","SP","SAO PAULO","AV PRES CASTELO BRANCO,8067-,05034-000"
"SALDANHA GONZALES COM DE TINTAS E FERRAGENS LTDA ME","66119918000162","SP","SAO PAULO","R  PARAPUA,231-,02831-000"
"SALDANHA GONZALES COM DE TINTAS E FERRAGENS LTDA ME","66119918000162","SP","SAO PAULO","R  PARAPUA,231-,02831-000"
"SERTAO COMERC DE EQUIP LTDA","15459431001755","MS","CAMPO GRANDE","AV SOLON PADILHA,2288-,79108-610"
"SKARLAT FERRAGENS LTDA EPP","00649883000165","RJ","RIO DE JANEIRO","R DR AUGUSTO FIGUEIREDO,1956-LJ B,21840-600"
"SO TINTAS COMERCIAL LTDA","02185406000111","RN","MOSSORO","R FELIPE CAMARAO,121-,59600-340"
"SUPER TINTAS COM DE TINTAS LTDA ME","11614349000130","RJ","RIO DE JANEIRO","AV MAL FONTENELE,3961-LJ A,21740-001"
"TAHISA COM TINTAS LTDA ME","01791304000187","SP","GUARULHOS","AV  JUREMA,577-,07244-000"
"TANAKO MATERIAIS PARA CONSTRUCAO LTDA","04116827000116","SC","ITAJAI","R PAULO KLEIS JUNIOR,146-,88309-380"
"TATO COM DE MAT DE CONSTRUCAO LTDA","81550535000219","SC","JOINVILLE","R JOSE ANTONIO SALES,42-,89224-300"
"THERA COMERCIAL DE TINTAS E FERRAGENS LTDA","36927213000100","SP","CAMPINAS","AV DOUTOR ARLINDO JOAQUIM DE LEMOS,1398-,13100-451"
"TIMAPE COMERCIAL LTDA ME","01817073000133","SC","CRICIUMA","AV SANTOS DUMONT,2295-,88804-500"
"TINBOL TINTAS LTDA","27067909000466","ES","SERRA","AVE BNH,57-LJ 04 E 09,29165-610"
"TINBOL TINTAS LTDA","27067909000628","ES","VILA VELHA","R LUCIANO DAS NEVES,1111-,29100-201"
"TINTA E COR COMERCIAL DE TINTAS LTDA","94222981000165","RS","NOVO HAMBURGO","AV  NICOLAU BECKER,660-,93510-060"
"TINTACOR COM DE TINTAS E ACESSORIOS LTDA EPP","82426222000135","PR","FOZ DO IGUACU","R  JORGE SANWAIS,557-,85851-150"
"TINTAO COM DE TINTAS E PECAS PARA AUTOS LTDA EPP","26933861000116","TO","ARAGUAINA","AV  SANTOS DUMONT,83-,77818-010"
"TINTAO COM DE TINTAS E PECAS PARA AUTOS LTDA EPP","26933861000116","TO","ARAGUAINA","AV  SANTOS DUMONT,83-,77818-010"
"TINTAO COM DE TINTAS LTDA","75816215000184","SC","JOINVILLE","R VSC DE TAUNAY,86-,89201-420"
"TINTAS AMADOR LTDA ME","60626256000130","SP","SAO PAULO","AV  AMADOR BUENO DA VEIGA,1356-,03636-100"
"TINTAS AMADOR LTDA ME","60626256000130","SP","SAO PAULO","AV  AMADOR BUENO DA VEIGA,1356-,03636-100"
"TINTAS DARKA LTDA","01887122001429","PR","CURITIBA","AV  SILVA JARDIM,107-,80230-000"
"TINTAS DARKA LTDA","01887122002581","SC","JOINVILLE","AV GETULIO VARGAS,871-,89202-295"
"TINTAS FAMOSAS COMERC DE TINTAS LTDA","66526542000453","SP","OSASCO","AV  DOS AUTONOMISTAS,413-,06020-000"
"TINTAS FAMOSAS COMERC DE TINTAS LTDA","66526542000100","SP","SAO PAULO","AV PROF FRANCISCO MORATO,3777-,05521-100"
"TINTAS FAMOSAS COMERC DE TINTAS LTDA","66526542000100","SP","SAO PAULO","AV PROF FRANCISCO MORATO,3777-,05521-100"
"TINTAS JD LTDA","54190319000580","SP","CARAPICUIBA","AV INOCENCIO SERAFICO,3504-SALAO CML 1,06380-021"
"TINTAS JD LTDA","54190319000318","SP","OSASCO","AV SEBASTIAN PIETRO CAMANDONA,28-,06080-220"
"TINTAS JD LTDA","54190319000156","SP","SAO PAULO","AV  MUTINGA,5196-,05110-000"
"TINTAS JD LTDA","54190319000156","SP","SAO PAULO","AV  MUTINGA,5196-,05110-000"
"TINTAS L AUTOMOTIVAS IMOBILIARIAS E INDUSTRIAIS LTDA","05741890000106","SP","OSASCO","AV DOS AUTONOMISTA,5222-,06194-060"
"TINTAS LUSACOR LTDA","57878068000357","SP","SAO PAULO","RUA AMARO LUZ,218-,04764-010"
"TINTAS LUSACOR LTDA","57878068000357","SP","SAO PAULO","RUA AMARO LUZ,218-,04764-010"
"TINTAS MC LTDA","61149506008306","GO","GOIANIA","AV T 7,480-QD 30 LOTE 10,74210-260"
"TINTAS MC LTDA","61149506009450","MG","UBERLANDIA","AV VASCONCELOS COSTA,715-BAIRRO MARTINS,38400-450"
"TINTAS MC LTDA","61149506000402","SP","GUARULHOS","AV DR TIMOTEO PENTEADO,560-,07094-000"
"TINTAS MC LTDA","61149506000151","SP","SAO PAULO","AV PROF ABRAAO DE MORAIS,378-,04127-000"
"TINTAS MC LTDA","61149506000151","SP","SAO PAULO","AV PROF ABRAAO DE MORAIS,378-,04127-000"
"TINTAS OLIVEIRA LTDA","02393323000541","SC","FLORIANOPOLIS","AV MARINHEIRO MAX SCHRAMM,2639-LOJA,88095-001"
"TINTAS OLIVEIRA LTDA","02393323000118","SC","SAO JOSE","R  LUIZ FAGUNDES,798-SL 2,88103-500"
"TINTAS PALMARES GUARULHOS LTDA","08308194000107","SP","GUARULHOS","AV EMILIO RIBAS,1068-,07020-010"
"TINTAS PALMARES LTDA","47450192000100","SP","SAO PAULO","AV BOTURUSSU,1721-,03802-010"
"TINTAS PALMARES LTDA","47450192000100","SP","SAO PAULO","AV BOTURUSSU,1721-,03802-010"
"TINTAS SAO MIGUEL EIRELI EPP","62742739000126","SP","SAO PAULO","AV  NORDESTINA,24-,08011-000"
"TINTAS SAO MIGUEL EIRELI EPP","62742739000126","SP","SAO PAULO","AV  NORDESTINA,24-,08011-000"
"TINTAS VINTE DE ABRIL PARIS LTDA EPP","33120627000135","RJ","RIO DE JANEIRO","R CD DE BAEPENDI,20-,22231-140"
"TINTEIRO COMERC DE TINTAS LTDA EPP","88260120000179","RS","PORTO ALEGRE","AV  ASSIS BRASIL,6583-LJ,91140-001"
"TINTORART COM DE TINTAS LTDA EPP","06374535000109","SC","BALNEARIO CAMBORIU","R  NOVECENTOS E QUATRO,971-,88330-592"
"TODIMO MATERIAIS PARA CONSTRUCAO SA","15375991002701","MS","CAMPO GRANDE","R JOAQUIM MURTINHO,4603-,79041-914"
"TODIMO MATERIAIS PARA CONSTRUCAO SA","15375991000326","MT","CUIABA","AV CARMINDO DE CAMPOS,667-,78065-300"
"TODIMO MATERIAIS PARA CONSTRUCAO SA","15375991001055","PR","LONDRINA","AV TIRADENTES,1181-,86070-545"
"TOP COR COMERCIO DE TINTAS LTDA","11732795000149","RS","CAXIAS DO SUL","R OS DEZOITO DO FORTE,974-,95020-472"
"TTL COMERCIO DE TINTAS E SERVICOS LTDA ME","06268934000195","ES","VILA VELHA","AV STA LEOPOLDINA,1925-,29102-040"
"UAI TINTAS LTDA","20972952000184","MG","MONTES CLAROS","R CORONEL CELESTINO,198-,39400-014"
"UNICOLOR TINTAS LTDA EPP","02287193000139","RJ","RIO DE JANEIRO","EST  DO PRE,1129-LJ B C,23013-550"
"UNITINTAS COMERCIO DE TINTAS LTDA","02107803001813","DF","BRASILIA","TR SIA TRECHO 2,SN-LOTE 835 845,71200-020"
"UNITINTAS COMERCIO DE TINTAS LTDA","02107803000175","GO","GOIANIA","R  P 13,18-Q 73 LT 23,74543-260"
"VANIO FERNANDES","06230895000137","SC","JOINVILLE","R INAMBU,562-,89220-001"
"VENCESLAU TINTAS LTDA","20615803000168","MG","GOVERNADOR VALADARES","R ISRAEL PINHEIRO,3609-,35010-131"
"VISUAL TINTAS LTDA EPP","05017585000176","RR","BOA VISTA","AV  MARIO HOMEM DE MELO,5550-,69313-522"
"VIVA COR TINTAS LTDA","68584077000351","RJ","RIO DE JANEIRO","EST  DOS BANDEIRANTES,5481-LT 20 Q 2 PAL 28733,22780-080"
"VIVAL COMERCIO DE TINTAS LTDA","05921801000103","SP","JUNDIAI","R  MOREIRA CESAR,115-,13202-600"
"W S J FERREIRA","30805423000140","AC","RIO BRANCO","AV NACOES UNIDAS,1538-,69918-970"
"WALTER R SILVA & CIA LTDA ME","04645347000142","AM","MANAUS","AV  COSME FERREIRA,404-,69082-230"
"WJ CORES E TINTAS LTDA","34126840000117","AC","RIO BRANCO","EST DA SOBRAL,691-,69911-108"
"WL COMERCIO DE TINTAS LTDA","11606011000136","RS","ERECHIM","PC  JULIO DE CASTILHOS,150-,99700-000"
"WSA COMERCIO DE TINTAS LTDA","09687578000132","DF","BRASILIA","Q SB QD 7 COMERCIO LOCAL 25 LJ 01,SN-,71625-009"
"YARALIAN & MURAYAMA LTDA","08024864000155","SP","PRESIDENTE PRUDENTE","AV BRASIL,2298-,19013-001"
"ZANARDO COM DE VIDROS E TINTAS LTDA ME","08215677000230","RS","ERECHIM","R  ITALIA,226-,99700-000"
"ZONA SUL COM DE MATERIAL PARA PINTURA LTDA ME","08853810000100","SE","ARACAJU","AV  MELICIO MACHADO,540-A,49038-443"
"TAKARA TAKARA IRMAO LTDA","60836244000130","SP","SAO PAULO","AV  ITABERABA,3844-,02739-000"
"ULETE MOTTA E CIA LTDA","24231276000149","MG","JOAO MONLEVADE","AV  GETULIO VARGAS,5166-,35930-003"
"MUD MATERIAIS DE CONSTRUCAO LTDA","33082249000142","RJ","RIO DE JANEIRO","R MQ DE SAO VICENTE,9-9 A ENT SUP PELO 13,22451-041"
"FMA GROFF MADEIREIRA LTDA","93394021000110","RS","PORTO ALEGRE","AV  TRAMANDAI,657-,91760-050"
"LUZANA COM DE FERRO E METAIS LTDA  ME","40455123000131","RJ","RIO DE JANEIRO","R  DOIS DE MAIO,198-,20961-160"
"DEP CACULA JACAREI MATS PARA CONST LTDA","50467885000101","SP","JACAREI","R JOAO AMERICO SILVA,204-,12315-310"
"GILBERTO F. DOS PASSOS COMERCIO DE MATERIAIS DE CONSTRUCAO EIRELI","94380904000133","RS","SANTA CRUZ DO SUL","AV GASPAR BARTOLOMAY,854-,96815-555"
"SLIMP DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO EIRELI","13128503000199","RS","SANTA CRUZ DO SUL","AC LINHA JOAO ALVES,SN-,96825-390"
"SANTEC COM DE FERRAGENS E FERRAMENTAS LTDA","51322782000116","SP","DESCALVADO","R SIQUEIRA CAMPOS,344-,13690-000"
"DEPOSITO DE MADEIRA SAO LUIZ LTDA","44604973000105","SP","CAMPINAS","AV ARMANDO SALES OLIVEIRA,390-,13090-150"
"ARMAZEM CORAL LTDA","11623188001031","PE","RECIFE","AV DOMINGOS FERREIRA,4811-4793,51021-000"
"CASA DAS TINTAS DE ANAPOLIS LTDA","33229030000204","GO","ANAPOLIS","AV  BRASIL SUL,317-,75123-390"
"MANFRIN CASSEB E CIA LTDA","72739543001027","SP","CATANDUVA","AV ENG JOSE NELSON MACHADO,1213-,15810-185"
"CASA VERDE MATERIAIS PARA CONSTRUCAO LTDA","52912748000679","SP","BRAGANCA PAULISTA","EST MUN VEREADOR ALVARO ALESSANDRI,84-,12903-841"
"COPAFER COML LTDA","55728224000106","SP","SANTO ANDRE","AV  DOS ESTADOS,4555-,09210-580"
"ARLINDO CARREIRA CIA LTDA","55019012000150","SP","LEME","AV DR JAMBEIRO COSTA,850-,13610-831"
"NICOM COMERCIO DE MATERIAIS PARA CONSTRUCOES LTDA","60403110000630","SP","SAO PAULO","R DR ABELARDO VERGUEIRO CESAR,2-,04635-080"
"LIGIA CONCEICAO DO AMARAL LIMA","24009197000511","SP","LENCOIS PAULISTA","AV PREFEITO JACOMO NICOLAU PACCOLA,500-,18685-099"
"COAMO AGROINDUSTRIAL COOPERATIVA","75904383003228","PR","CAMPO MOURAO","RUA PION ADINOR C DE SOUZA,780-,87309-730"
"L JARDIM E CIA LTDA","12270435000488","AL","MACEIO","AV FERNANDES LIMA,991-B-,57055-000"
"POLITINTAS LTDA","27171883001473","ES","CARIACICA","R TREZE,419-SL 02,29142-866"
"SR ACABAMENTOS E MAT P CONSTR LTDA","26443804000159","DF","BRASILIA","ST SIA TRECHO 1,SN-LOTE 1010/1040,71200-010"
"FERRAGEM LORENZET LTDA","88318456000145","RS","PELOTAS","AV ENG ILDEFONSO SIMOES LOPES,260-,96060-290"
"AC COELHO MAT CONST LTDA","37083474000154","DF","BRASILIA","SIA TRECHO 3,SN-LT 1010 1060 E 1070 SN TR 3,71200-030"
